Area,DMA
Altadena,LOS ANGELES
Alturas,CHICO-REDDING
Amador,SACRAMNTO-STKTON-MODESTO
Antelope Valley,LOS ANGELES
Arrowhead,LOS ANGELES
Auburn,SACRAMNTO-STKTON-MODESTO
Auburn FSP,SACRAMNTO-STKTON-MODESTO
Bakersfield,BAKERSFIELD
Baldwin Park,LOS ANGELES
Barstow,LOS ANGELES
BC,Unknown
BCC,Unknown
BCCC,Unknown
BCFSP,Unknown
BF,Unknown
BFCC,Unknown
BFFSP,Unknown
BI,Unknown
BICC,Unknown
Bishop,LOS ANGELES
Blythe,LOS ANGELES
Bridgeport,SACRAMNTO-STKTON-MODESTO
BS,Unknown
BSCC,Unknown
BSFSP,Unknown
Buellton,SANTABARBRA-SANMAR-SANLUOB
Buttonwillow,BAKERSFIELD
Capistrano,LOS ANGELES
Castaic CVEF,LOS ANGELES
Castro Valley,SAN FRANCISCO-OAK-SAN JOSE
Central LA,LOS ANGELES
CH,Unknown
Chico,CHICO-REDDING
Clear Lake,SAN FRANCISCO-OAK-SAN JOSE
Coalinga,FRESNO-VISALIA
Contra Costa,SAN FRANCISCO-OAK-SAN JOSE
Contra Costa FSP,SAN FRANCISCO-OAK-SAN JOSE
Crescent City,EUREKA
CT Maint,Unknown
Dublin,SAN FRANCISCO-OAK-SAN JOSE
Dublin FSP,SAN FRANCISCO-OAK-SAN JOSE
East LA,LOS ANGELES
East Sac,SACRAMNTO-STKTON-MODESTO
EC,Unknown
El Cajon,SAN DIEGO
El Centro,YUMA-EL CENTRO
Fort Tejon,LOS ANGELES
FR,Unknown
Fresno,FRESNO-VISALIA
FRFSP,Unknown
Garberville,EUREKA
GG,Unknown
GGCC,Unknown
GGFSP,Unknown
Gold Run,SACRAMNTO-STKTON-MODESTO
Golden Gate Dispatch,SAN FRANCISCO-OAK-SAN JOSE
Grass Valley,SACRAMNTO-STKTON-MODESTO
Hanford,FRESNO-VISALIA
Hayward,SAN FRANCISCO-OAK-SAN JOSE
Hayward FSP,SAN FRANCISCO-OAK-SAN JOSE
HM,Unknown
Hollister Gilroy,SAN FRANCISCO-OAK-SAN JOSE
Hollister Gilroy FSP,SAN FRANCISCO-OAK-SAN JOSE
Humboldt,EUREKA
IC,Unknown
ICFSP,Unknown
IN,Unknown
INCC,Unknown
Indio,LOS ANGELES
INFSP,Unknown
King City,MONTEREY-SALINAS
LA,LOS ANGELES
LA1,LOS ANGELES
LACC,LOS ANGELES
LAFSP,LOS ANGELES
Los Banos,MONTEREY-SALINAS
Madera,FRESNO-VISALIA
Marin,SAN FRANCISCO-OAK-SAN JOSE
Marin FSP,SAN FRANCISCO-OAK-SAN JOSE
Mariposa,FRESNO-VISALIA
Merced,FRESNO-VISALIA
Merced Dispatch,FRESNO-VISALIA
Modesto,SACRAMNTO-STKTON-MODESTO
Mojave,BAKERSFIELD
